trade_date,volume,price_usd,price_btc,market_cap,capitalization_change_1_day,USD_price_change_1_day,BTC_price_change_1_day,crypto_name,crypto_type,ticker,max_supply,site_url,github_url,minable,platform_name,industry_name,Unemployment_Rate,CPI,CCI,PPI,GDP
2016-01-01,36278900.0,434.33,1.0,6529299589.0,0.0,0.0,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-02,30096600.0,433.44,1.0,6517390487.0,-0.0018239478580617,-0.0020491331476066,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-03,39633800.0,430.01,1.0,6467429942.0,-0.0076657283462844,-0.0079134366925065,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-04,38477500.0,433.09,1.0,6515713340.0,0.0074656236608678,0.0071626241250203,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-05,34522600.0,431.96,1.0,6500393256.0,-0.0023512519966079,-0.0026091574499527,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-06,34042500.0,429.11,1.0,6458942098.0,-0.0063767154335993,-0.0065978331326974,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-07,87562200.0,458.05,1.0,6896279078.0,0.067710311280762,0.067441914660577,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-08,56993000.0,453.23,1.0,6825700454.0,-0.010234305079844,-0.010522868682458,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-09,32278000.0,447.61,1.0,6742767343.0,-0.012150124600238,-0.012399885267966,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-10,35995900.0,447.99,1.0,6750440386.0,0.0011379664475545,0.0008489533299077,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-11,40450000.0,448.43,1.0,6758931030.0,0.0012577911239108,0.0009821647804638,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-12,115607000.0,435.69,1.0,6568800100.0,-0.028130325513915,-0.028410231251254,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-13,173888000.0,432.37,1.0,6520360056.0,-0.0073742606355155,-0.0076200968578576,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-14,43945500.0,430.31,1.0,6490638885.0,-0.0045582100903539,-0.0047644378657169,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-15,153351008.0,364.33,1.0,5496598039.0,-0.15314992308342,-0.15333131928145,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-16,120352000.0,387.54,1.0,5848063566.0,0.06394237390223,0.063705980841545,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-17,45319600.0,382.3,1.0,5770478451.0,-0.013266804323242,-0.013521184909945,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-18,54403900.0,387.17,1.0,5845656048.0,0.01302796598902,0.012738686895109,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-19,46819800.0,380.15,1.0,5740934168.0,-0.017914478570088,-0.018131570111321,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-20,121720000.0,420.23,1.0,6347836794.0,0.10571496001171,0.10543206628962,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-21,68338000.0,410.26,1.0,6198658815.0,-0.023500600888322,-0.02372510291983,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-22,91546600.0,382.49,1.0,5780764155.0,-0.067416948161229,-0.067688782723151,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-23,56247400.0,387.49,1.0,5858059876.0,0.013371194348613,0.013072237182671,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-24,54824800.0,402.97,1.0,6093787908.0,0.040239949230591,0.039949418049498,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-25,59062400.0,391.73,1.0,5925345408.0,-0.027641674200519,-0.027892895252748,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-26,58147000.0,392.15,1.0,5933372928.0,0.0013547767171787,0.001072167053838,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-27,47424400.0,394.97,1.0,5977545745.0,0.007444807116631,0.0071911258447024,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-28,59247900.0,380.29,1.0,5756710303.0,-0.036944165953848,-0.037167379800998,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-29,86125296.0,379.47,1.0,5745985821.0,-0.0018629532207676,-0.0021562491782587,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-30,30284400.0,378.26,1.0,5729296096.0,-0.0029045886154128,-0.003188657864917,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-01-31,37894300.0,368.77,1.0,5587253351.0,-0.024792355399325,-0.025088563421985,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.8,237.652,92.0,182.6,18525.933
2016-02-01,51656700.0,373.06,1.0,5653747618.0,0.011901065303956,0.011633267348212,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-02,40378700.0,374.45,1.0,5676528707.0,0.0040293784829502,0.0037259422076877,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-03,45933400.0,369.95,1.0,5609971377.0,-0.011725005445304,-0.012017625851248,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-04,69285504.0,389.59,1.0,5909517630.0,0.053395326441075,0.053088255169617,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-05,43825000.0,386.55,1.0,5865136968.0,-0.0075100312375242,-0.007803075027593,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-06,49249300.0,376.52,1.0,5714879155.0,-0.025618807168494,-0.025947484154702,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-07,37076300.0,376.62,1.0,5718023735.0,0.0005502443559543,0.000265590141294,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-08,47671100.0,373.45,1.0,5671240831.0,-0.0081816561399775,-0.0084169720142319,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-09,55318500.0,376.03,1.0,5712106127.0,0.007205706337954,0.0069085553621636,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-10,85130896.0,381.65,1.0,5799042060.0,0.015219593450666,0.014945616041273,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-11,74375600.0,379.65,1.0,5770550973.0,-0.0049130678317584,-0.0052404035110704,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-12,67042800.0,384.26,1.0,5842238586.0,0.012423010096509,0.01214276307125,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-13,61911700.0,391.86,1.0,5959279526.0,0.020033577587959,0.019778275126217,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-14,74469800.0,407.23,1.0,6194711495.0,0.039506783995083,0.039223191956311,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-15,74070496.0,400.18,1.0,6089064891.0,-0.017054321913986,-0.01731208408025,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
2016-02-16,73093104.0,407.49,1.0,6201590434.0,0.018479938219466,0.018266779949023,0.0,Bitcoin,0.0,BTC,21000000.0,https://bitcoin.org/,https://github.com/bitcoin/,1.0,XRP,Proof of Work (PoW),4.9,237.336,91.7,181.3,18525.933
